10	1	7				10	1	6					10000						10000
10	2	7				10	2	6					7000						5000
10	3	7				10	3	6					3309103,9						3245311,25
10	4	7				10	4	6					63792,65						
10	5	7				10	5	6											
10	6	7				10	6	6											
10	7	7				10	7	6											
10	8	7				10	8	6											
10	9	7				10	9	6											
11	10	7,7				11	10	6,6											
11	11	7,7				11	11	6,6											
11	12	7,7				11	12	6,6											
11	13	7,7				11	13	6,6											
11	14	7,7				11	14	6,6											
11	15	7,7				11	15	6,6											
11	16	7,7				11	16	6,6											
11	17	7,7				11	17	6,6											
12	18	8,4				12	18	7,2											
12	19	8,4				12	19	7,2											
12	20	8,4				12	20	7,2											
12	21	8,4				12	21	7,2											
12	22	8,4				12	22	7,2											
12	23	8,4				12	23	7,2											
12	24	8,4				12	24	7,2											
12	25	8,4				12	25	7,2											
12	26	8,4				12	26	7,2											
12	27	8,4				12	27	7,2											
13	28	9,1				13	28	7,8											
13	29	9,1				13	29	7,8											
13	30	9,1				13	30	7,8											
13	31	9,1				13	31	7,8											
13	32	9,1				13	32	7,8											
13	33	9,1				13	33	7,8											
13	34	9,1				13	34	7,8											
13	35	9,1				13	35	7,8											
13	36	9,1				13	36	7,8											
13	37	9,1				13	37	7,8											
13	38	9,1				13	38	7,8											
13	39	9,1				13	39	7,8											
13	40	9,1				13	40	7,8											
13	41	9,1				13	41	7,8											
13	42	9,1				13	42	7,8											
14	43	9,8				14	43	8,4											
14	44	9,8				14	44	8,4											
14	45	9,8				14	45	8,4											
14	46	9,8				14	46	8,4											
14	47	9,8				14	47	8,4											
14	48	9,8				14	48	8,4											
14	49	9,8				14	49	8,4											
14	50	9,8				14	50	8,4											
14	51	9,8				14	51	8,4											
15	52	10,5				15	52	9											
15	53	10,5				15	53	9											
15	54	10,5				15	54	9											
15	55	10,5				15	55	9											
15	56	10,5				15	56	9											
15	57	10,5				15	57	9											
15	58	10,5				15	58	9											
15	59	10,5				15	59	9											
16	60	11,2				16	60	9,6											
16	61	11,2				16	61	9,6											
16	62	11,2				16	62	9,6											
16	63	11,2				16	63	9,6											
16	64	11,2				16	64	9,6											
16	65	11,2				16	65	9,6											
16	66	11,2				16	66	9,6											
16	67	11,2				16	67	9,6											
16	68	11,2				16	68	9,6											
16	69	11,2				16	69	9,6											
16	70	11,2				16	70	9,6											
17	71	11,9				17	71	10,2											
17	72	11,9				17	72	10,2											
17	73	11,9				17	73	10,2											
17	74	11,9				17	74	10,2											
17	75	11,9				17	75	10,2											
17	76	11,9				17	76	10,2											
17	77	11,9				17	77	10,2											
17	78	11,9				17	78	10,2											
17	79	11,9				17	79	10,2											
17	80	11,9				17	80	10,2											
17	81	11,9				17	81	10,2											
